Category,Item,Serving Size,Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value)
Breakfast,Egg McMuffin,4.8 oz (136 g),300,120,13,20
Breakfast,Egg White Delight,4.8 oz (135 g),250,70,8,12
Breakfast,Sausage McMuffin,3.9 oz (111 g),370,200,23,35
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450,250,28,43
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,210,23,35
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,210,23,36
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,230,26,40
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,270,30,47
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,180,20,32
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,220,25,38
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,240,27,42
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,280,31,48
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,290,33,50
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,330,37,57
Breakfast,Sausage Biscuit with Egg Whites (Regular Biscuit),5.9 oz (167 g),460,250,27,42
Breakfast,Sausage Biscuit with Egg Whites (Large Biscuit),6.4 oz (181 g),520,280,32,49
Breakfast,Southern Style Chicken Biscuit (Regular Biscuit),5 oz (143 g),410,180,20,31
Breakfast,Southern Style Chicken Biscuit (Large Biscuit),5.5 oz (157 g),470,220,24,37
Breakfast,Steak & Egg Biscuit (Regular Biscuit),7.1 oz (201 g),540,290,32,49
Breakfast,"Bacon, Egg & Cheese McGriddles",6.1 oz (174 g),460,190,21,32
Breakfast,"Bacon, Egg & Cheese McGriddles with Egg Whites",6.3 oz (178 g),400,140,15,24
Breakfast,Sausage McGriddles,5 oz (141 g),420,200,22,34
Breakfast,"Sausage, Egg & Cheese McGriddles",7.1 oz (201 g),550,280,31,48
Breakfast,"Sausage, Egg & Cheese McGriddles with Egg Whites",7.2 oz (205 g),500,230,26,40
Breakfast,"Bacon, Egg & Cheese Bagel",6.9 oz (197 g),620,280,31,48
Breakfast,"Bacon, Egg & Cheese Bagel with Egg Whites",7.1 oz (201 g),570,230,25,39
Breakfast,"Steak, Egg & Cheese Bagel",8.5 oz (241 g),670,310,35,53
Breakfast,Big Breakfast (Regular Biscuit),9.5 oz (269 g),740,430,48,73
Breakfast,Big Breakfast (Large Biscuit),10 oz (283 g),800,470,52,80
Breakfast,Big Breakfast with Egg Whites (Regular Biscuit),9.6 oz (272 g),640,330,37,57
Breakfast,Big Breakfast with Egg Whites (Large Biscuit),10.1 oz (286 g),690,370,41,63
Breakfast,Big Breakfast with Hotcakes (Regular Biscuit),14.8 oz (420 g),1090,510,56,87
Breakfast,Big Breakfast with Hotcakes (Large Biscuit),15.3 oz (434 g),1150,540,60,93
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Regular Biscuit),14.9 oz (423 g),990,410,46,70
Breakfast,Big Breakfast with Hotcakes and Egg Whites (Large Biscuit),15.4 oz (437 g),1050,450,50,77
Breakfast,Hotcakes,5.3 oz (151 g),350,80,9,13
Breakfast,Hotcakes and Sausage,6.8 oz (192 g),520,210,24,37
Breakfast,Sausage Burrito,3.9 oz (111 g),300,150,16,25
Breakfast,Hash Brown,2 oz (56 g),150,80,9,14
